T;Dados Gerais \ Administração Consolidada \ Despesas com Manutenção e Desenvolvimento do Ensino \ Despesas Custeadas c/ Recursos Vinculados \ Transferências de Municípios referentes a Convênios ou de Contratos de Repasse vinculados à Educação
T;Cod. Instituição;Cód. Planilha;Código;Descrição;;
T;1;1394;;;;
T;Dados Gerais \ Administração Consolidada \ Despesas com Manutenção e Desenvolvimento do Ensino \ Despesas Custeadas c/ Recursos Vinculados \ Transferências de Municípios referentes a Convênios ou de Contratos de Repasse vinculados à Educação \ Ensino Fundamental
T;Cod. Instituição;Cód. Planilha;Código;Descrição;;
T;1;1535;;;;
T;Dados Gerais \ Administração Consolidada \ Despesas com Manutenção e Desenvolvimento do Ensino \ Despesas Custeadas c/ Recursos Vinculados \ Transferências de Municípios referentes a Convênios ou de Contratos de Repasse vinculados à Educação \ Ensino Fundamental \ 122 - Administração Geral
T;Cod. Instituição;Cód. Planilha;Código;Descrição;Dotação Atualizada 2021;Desp. Empenhadas 2021;Desp. Liquidadas 2021;Desp. Pagas 2021;RP Processados 2021;RP Não Processados 2021
V;1;1536;3.0.00.00.00;Despesas Correntes;;;;;;
V;1;1536;3.1.00.00.00;Pessoal e Encargos Sociais;;;;;;
V;1;1536;3.1.20.00.00;Transferências à União;;;;;;
V;1;1536;3.1.22.00.00;Execução Orçamentária Delegada à União;;;;;;
V;1;1536;3.1.30.00.00;Transferências a Estados e ao Distrito Federal;;;;;;
V;1;1536;3.1.30.41.00;Transferências a Estados e ao Distrito Federal;;;;;;
V;1;1536;3.1.30.99.00;Elemento Genérico;;;;;;
V;1;1536;3.1.31.00.00;Transferências a Estados e ao Distrito Federal - Fundo a Fundo;;;;;;
V;1;1536;3.1.32.00.00;Execução Orçamentária Delegada a Estados e ao Distrito Federal;;;;;;
V;1;1536;3.1.35.00.00;Transferências Fundo a Fundo Aos Estados e ao Distrito Federal à Conta de Recursos de Que Tratam Os §§ 1º e 2º do Art. 24 da Lei Complementar Nº 141, de 2012  - Restos a Pagar Cancelados;;;;;;
V;1;1536;3.1.40.00.00;Transferências a Municípios;;;;;;
V;1;1536;3.1.41.00.00;Transferências a Municípios - Fundo a Fundo;;;;;;
V;1;1536;3.1.42.00.00;Execução Orçamentária Delegada a Municípios;;;;;;
V;1;1536;3.1.45.00.00;Transferências Fundo a Fundo Aos Municípios à Conta de Recursos de Que Tratam Os §§ 1º e 2º do Art. 24 da Lei Complementar Nº 141, de 2012 -Restos a Pagar Cancelados;;;;;;
V;1;1536;3.1.46.00.00;Transferências Fundo a Fundo Aos Municípios à Conta de Recursos de Que Trata O Art. 25 da Lei Complementar Nº 141, de 2012  - Diferença do Mínimo Não Aplicado Em Exercícios Anteriores;;;;;;
V;1;1536;3.1.50.00.00;Transferências a Instituições Privadas Sem Fins Lucrativos;;;;;;
V;1;1536;3.1.60.00.00;Transferências a Instituições Privadas Com Fins Lucrativos;;;;;;
V;1;1536;3.1.67.00.00;Execução de Contrato de Parceria Público-Privada - Ppp;;;;;;
V;1;1536;3.1.70.00.00;Transferencia a Instituicoes Multigovernamentais;;;;;;
V;1;1536;3.1.70.41.00;Contribuicoes;;;;;;
V;1;1536;3.1.70.99.00;Elemento Genérico;;;;;;
V;1;1536;3.1.71.00.00;Transferências a Consórcios Públicos Mediante Contrato de Rateio;;;;;;
V;1;1536;3.1.72.00.00;Execução Orçamentária Delegada a Consórcios Públicos;;;;;;
V;1;1536;3.1.73.00.00;Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de Que Tratam Os §§ 1º e 2º do Art. 24 da Lei Complementar Nº 141, de 2012.;;;;;;
V;1;1536;3.1.74.00.00;Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de Que Trata O Art. 25 da Lei Complementar Nº 141, de 2012.;;;;;;
V;1;1536;3.1.75.00.00;Transferências a Instituições Multigovernamentais à Conta de Recursos de Que Tratam Os §§ 1º e 2º do Art. 24 da Lei Complementar Nº 141, de 2012 - Restos a Pagar Cancelados;;;;;;
V;1;1536;3.1.76.00.00;Transferências a Instituições Multigovernamentais à Conta de Recursos de Que Trata O Art. 25 da Lei Complementar Nº 141, de 2012  - Diferença do Mínimo Não Aplicado Em Exercícios Anteriores;;;;;;
V;1;1536;3.1.80.00.00;Transferências ao Exterior;;;;;;
V;1;1536;3.1.80.04.00;Contratação Por Tempo Determinado;;;;;;
V;1;1536;3.1.80.99.00;Elemento Genérico;;;;;;
V;1;1536;3.1.90.00.00;Aplicações Diretas;;;;;;
V;1;1536;3.1.90.01.00;Aposentadorias do Rpps, Reserva Remunerada e Reformas Dos Militares;;;;;;
V;1;1536;3.1.90.01.01;Proventos - Pessoal Civil;;;;;;
V;1;1536;3.1.90.01.06;13 Salario - Pessoal Civil;;;;;;
V;1;1536;3.1.90.01.18;Licenca Premio Para Inativo Civil;;;;;;
V;1;1536;3.1.90.01.21;Proventos - Pessoal Militar;;;;;;
V;1;1536;3.1.90.01.23;Auxilio-Invalidez - Pessoal Militar;;;;;;
V;1;1536;3.1.90.01.26;13 Salario - Pessoal Militar;;;;;;
V;1;1536;3.1.90.01.51;Adicionais, Vantagens,Gratificações e Outros Complementos de Proventos - Pessoal Civil;;;;;;
V;1;1536;3.1.90.01.52;Adicionais, Vantagens,Gratificações e Outros Complementos de Proventos - Pessoal Militar;;;;;;
V;1;1536;3.1.90.01.89;Outros Proventos - Pessoal Militar;;;;;;
V;1;1536;3.1.90.01.99;Outros Proventos - Pesoal Civil;;;;;;
V;1;1536;3.1.90.03.00;Pensões do Rpps e do Militar;;;;;;
V;1;1536;3.1.90.03.01;Pensoes Civis;;;;;;
V;1;1536;3.1.90.03.02;Pensoes Militares;;;;;;
V;1;1536;3.1.90.03.03;13 Salario - Pensoes Civis;;;;;;
V;1;1536;3.1.90.03.04;13 Salario - Pensoes Militares;;;;;;
V;1;1536;3.1.90.03.05;Pensoes Especiais - Pessoal Civil;;;;;;
V;1;1536;3.1.90.03.08;Pensoes Especiais - Pessoal Militar;;;;;;
V;1;1536;3.1.90.03.51;Adicionais, Vantagens,Gratificações e Outros Complementos de Pensões - Pessoal Civil;;;;;;
V;1;1536;3.1.90.03.52;Adicionais, Vantagens,Gratificações e Outros Complementos de Pensões - Pessoal Militar;;;;;;
V;1;1536;3.1.90.03.89;Outras Pensoes - Militares;;;;;;
V;1;1536;3.1.90.03.99;Outras Pensoes - Civis;;;;;;
V;1;1536;3.1.90.04.00;Contratação Por Tempo Determinado;;;;;;
V;1;1536;3.1.90.04.01;Salario Contrato Temporario;;;;;;
V;1;1536;3.1.90.04.10;Serv. Extraordinários - Contrato Temporário;;;;;;
V;1;1536;3.1.90.04.13;13. Salario - Contrato Temporario;;;;;;
V;1;1536;3.1.90.04.14;Ferias - Abono Constitucional - Contrato Temp;;;;;;
V;1;1536;3.1.90.04.51;Adicionais de Contrato Temporario;;;;;;
V;1;1536;3.1.90.04.99;Outras Contratações Por Tempo Determinado;;;;;;
V;1;1536;3.1.90.05.00;Outros Benefícios Previdenciários do Servidor Ou do Militar;;;;;;
V;1;1536;3.1.90.05.01;Auxilio-Reclusao Ativo Civil;;;;;;
V;1;1536;3.1.90.05.03;Salario-Familia Ativo Civil;;;;;;
V;1;1536;3.1.90.05.04;Salario-Familia Ativo Militar;;;;;;
V;1;1536;3.1.90.05.05;Salario-Familia Inativo Civil;;;;;;
V;1;1536;3.1.90.05.06;Salario-Familia Inativo Militar;;;;;;
V;1;1536;3.1.90.05.07;Salario-Familia Pensionista Civil;;;;;;
V;1;1536;3.1.90.05.08;Salario-Familia Pensioniosta Militar;;;;;;
V;1;1536;3.1.90.05.09;Auxilio-Doenca;;;;;;
V;1;1536;3.1.90.05.10;Salário Maternidade;;;;;;
V;1;1536;3.1.90.05.98;Outros Benef.Previdenciários - Civil;;;;;;
V;1;1536;3.1.90.05.99;Outros Benef.Previdenciários - Militar;;;;;;
V;1;1536;3.1.90.07.00;Contribuição a Entidades Fechadas de Previdência;;;;;;
V;1;1536;3.1.90.07.01;Contribuicao Patronal Previdencia Privada;;;;;;
V;1;1536;3.1.90.07.02;Seguros;;;;;;
V;1;1536;3.1.90.07.04;Contribuicao Patronal Previdencia Privada-Pdv;;;;;;
V;1;1536;3.1.90.07.99;Outras Contribuicoes a Entidades Fechadas de Previdência;;;;;;
V;1;1536;3.1.90.11.00;Vencimentos e Vantagens Fixas - Pessoal Civil;;;;;;
V;1;1536;3.1.90.11.01;Vencimentos e Salarios;;;;;;
V;1;1536;3.1.90.11.04;Adicional Noturno;;;;;;
V;1;1536;3.1.90.11.05;Incorporações;;;;;;
V;1;1536;3.1.90.11.07;Abono de Permanencia;;;;;;
V;1;1536;3.1.90.11.08;Adiantamento Pecuniario;;;;;;
V;1;1536;3.1.90.11.09;Adicional de Periculosidade;;;;;;
V;1;1536;3.1.90.11.10;Adicional de Insalubridade;;;;;;
V;1;1536;3.1.90.11.11;Adicional de Atividades Penosas;;;;;;
V;1;1536;3.1.90.11.13;Incentivo a Qualificação;;;;;;
V;1;1536;3.1.90.11.31;Gratificação Por Exercicio de Cargos;;;;;;
V;1;1536;3.1.90.11.33;Gratificação Por Exercicio de Funções;;;;;;
V;1;1536;3.1.90.11.37;Gratificação de Tempo de Servico;;;;;;
V;1;1536;3.1.90.11.42;Ferias Vencidas e Proporcionais;;;;;;
V;1;1536;3.1.90.11.43;13. Salario;;;;;;
V;1;1536;3.1.90.11.44;Ferias - Abono Pecuniario;;;;;;
V;1;1536;3.1.90.11.45;Ferias – Abono Constitucional;;;;;;
V;1;1536;3.1.90.11.47;Licenca-Premio;;;;;;
V;1;1536;3.1.90.11.49;Licenca Capacitação;;;;;;
V;1;1536;3.1.90.11.50;Salário Maternidade;;;;;;
V;1;1536;3.1.90.11.51;Outros Adicionais, Vantagens,Gratificações e Outros Complementos de Salários;;;;;;
